ID,TYPE,WIPE,CONTENT,NEXTSTATES
0,CUTSCENE,TRUE,0+Press any key to continue...,6
1,CUTSCENE,FALSE,0+You are looking out the dirty little window in your flat over the sprawling metropolis of Glasgow. Plumes of smoke billow from the vapes of the passerbys. Your phone rings in your pocket.,2
2,PROMPT,FALSE,Answer the call?+Yes+No,3+4
3,CUTSCENE,TRUE,"100+Hello, I am George. I am calling you to let you know you have an inheritance waiting for you in the south of France. If you have any questions",5
4,CUTSCENE,TRUE,"100+You get employed in JP Morgan. A long career follows. Unfortunately, ",8
5,PROMPT,FALSE,What do you do?+Go to France+Stay in Glasgow,6+4
6,IMAGE,TRUE,scary terrifying shadows behind me nightmare trippy+[ALI describes a bad dream here].,7
7,IMAGE,TRUE,economy plane seat baby loud french+The turbulence wakes you. There is a baby crying in your left ear. You are in the back of a plane on the way to france. Thank god there is only 20 minutes left of the flight.,9
8,CUTSCENE,FALSE,100+You lose most of your family and die alone. This will be the last year of your life. You tell others that,8
9,CUTSCENE,TRUE,"0+You get picked up at the airport and driven to the bottom of a hill in silence. You see a small winding path leading up the hill. And the man points at it and speaks in french. ",10
10,IMAGE,TRUE,scary path woods hill mountain dark+As you start walking up the hill the man begins to speak in broken french.,11
11,CUTSCENE,FALSE,"100+""As child I come here all the time. People tell me no, but I am here anyway"". ""They say haunted,",12
12,CUTSCENE,TRUE,0+As you approch the top of the hill the man points to the right and says voila: inheritance.,12
412323,CUTSCENE,TRUE,"150+Hi my name is James. I know you inherited the castle \n Have you heard the infinite horror stories about the bloody viscount \n He used to live in the castle on the hill, \n and he massacred hundreds of towns people. \n",3
512323,CUTSCENE,TRUE,"50+Good afternoon, what are you looking for today?\n I've got bread, muffins",4
